README FIRST
-----
Fields:

Registration date
Total usage time	(in hours)
Pets				(YES or NO)
Carpet score		(1 to 9)
Sent for repair		(YES or NO)
Failure date
Battery, Impact sensor and IR sensor status	(OK or Damage)
----
Registration date,Total usage time,Pets,Carpet score,Sent for repair,Failure date,Battery status,Impact status,IR status
29Jul2019,233,NO,5,NO,---,---,---,---
8Sep2019,152,NO,3,NO,---,---,---,---
6Jun2016,475,NO,2,YES,7Nov2017,OK,OK,Damage
25Feb2019,326,NO,4,NO,---,---,---,---
17Mar2018,1018,YES,4,NO,---,---,---,---
5Aug2017,1312,NO,2,NO,---,---,---,---
7Sep2018,1172,YES,4,NO,---,---,---,---
3Sep2015,2679,YES,2,YES,23Feb2019,Damage,OK,OK
14Apr2018,464,NO,3,NO,---,---,---,---
11Jul2018,536,NO,3,NO,---,---,---,---
15Apr2017,987,NO,6,NO,---,---,---,---
6Aug2018,561,NO,2,NO,---,---,---,---
3Sep2019,107,NO,2,NO,---,---,---,---
11Apr2016,1400,YES,4,YES,8Sep2017,Damage,OK,OK
24Apr2017,295,NO,4,YES,26Oct2018,OK,OK,Damage
13Sep2019,134,NO,2,NO,---,---,---,---
22Nov2019,59,NO,3,NO,---,---,---,---
3Aug2015,1393,NO,2,NO,---,---,---,---
17May2017,853,NO,5,NO,---,---,---,---
20Oct2017,824,NO,5,NO,---,---,---,---
9Jul2019,456,YES,3,NO,---,---,---,---
11Sep2015,1682,NO,5,NO,---,---,---,---
11Dec2019,37,YES,4,NO,---,---,---,---
25Sep2019,80,NO,3,NO,---,---,---,---
31May2015,1618,NO,2,NO,---,---,---,---
27Jul2017,1791,YES,6,NO,---,---,---,---
13Dec2016,28,YES,2,YES,26Dec2016,OK,OK,Damage
12Jul2019,208,NO,4,NO,---,---,---,---
27Mar2017,2474,YES,3,YES,18Oct2019,Damage,OK,OK
7Mar2019,216,NO,3,NO,---,---,---,---
8Sep2018,347,NO,2,NO,---,---,---,---
20Jan2019,388,YES,2,NO,---,---,---,---
9Dec2016,1163,NO,3,NO,---,---,---,---
5Jun2018,516,NO,3,NO,---,---,---,---
8Jan2015,2247,NO,4,NO,---,---,---,---
1Mar2019,290,NO,5,NO,---,---,---,---
14Jan2015,2340,NO,3,NO,---,---,---,---
15Jan2016,1257,NO,2,NO,---,---,---,---
14Jul2019,113,NO,2,NO,---,---,---,---
22Jan2018,750,NO,4,NO,---,---,---,---
24Nov2016,1609,YES,5,NO,---,---,---,---
6Mar2017,611,NO,2,NO,---,---,---,---
10Mar2015,1828,YES,4,YES,20Apr2017,Damage,OK,OK
13Nov2019,32,NO,4,NO,---,---,---,---
27Feb2017,935,NO,2,NO,---,---,---,---
15Oct2019,117,YES,2,NO,---,---,---,---
10Jun2019,503,YES,3,NO,---,---,---,---
14Mar2018,1207,YES,4,NO,---,---,---,---
8Nov2019,54,NO,7,NO,---,---,---,---
3Feb2018,1869,YES,1,NO,---,---,---,---
31Aug2016,979,NO,2,NO,---,---,---,---
25Sep2016,945,NO,1,NO,---,---,---,---
28Dec2016,1288,NO,2,NO,---,---,---,---
3Dec2018,632,NO,3,NO,---,---,---,---
13Mar2015,2108,NO,2,YES,4Jul2019,OK,Damage,OK
29Sep2018,602,NO,2,NO,---,---,---,---
21May2018,143,NO,3,YES,3Nov2018,OK,OK,Damage
9Nov2015,2942,YES,3,NO,---,---,---,---
21Apr2016,1372,NO,4,NO,---,---,---,---
28Jul2017,598,NO,1,NO,---,---,---,---
18May2018,443,NO,1,NO,---,---,---,---
30Nov2019,38,NO,5,NO,---,---,---,---
18Oct2018,833,YES,1,NO,---,---,---,---
31Oct2017,559,NO,4,NO,---,---,---,---
1Apr2019,377,NO,4,NO,---,---,---,---
12Dec2015,2525,YES,3,NO,---,---,---,---
10May2016,295,YES,3,YES,25Sep2016,OK,OK,Damage
21Feb2019,904,YES,6,NO,---,---,---,---
19Jun2018,839,YES,3,NO,---,---,---,---
15Mar2016,841,YES,4,NO,---,---,---,---
20Mar2015,1901,NO,3,NO,---,---,---,---
14Sep2015,3285,YES,4,NO,---,---,---,---
31Jan2016,2413,YES,3,YES,2Sep2018,Damage,OK,OK
25May2017,874,NO,2,NO,---,---,---,---
27Dec2015,2416,YES,7,NO,---,---,---,---
6Aug2018,520,NO,4,NO,---,---,---,---
15Jan2015,2050,NO,2,NO,---,---,---,---
16Nov2016,1239,NO,2,NO,---,---,---,---
28Jul2017,1253,YES,3,NO,---,---,---,---
3Jan2015,2923,YES,2,YES,23Nov2017,OK,Damage,OK
28Nov2017,711,NO,3,NO,---,---,---,---
16Oct2015,1282,NO,6,NO,---,---,---,---
17Oct2016,2037,YES,3,YES,7Jun2019,Damage,OK,OK
24Mar2018,292,NO,3,NO,---,---,---,---
17Nov2018,457,NO,4,NO,---,---,---,---
26Oct2017,2013,YES,2,NO,---,---,---,---
2Mar2016,644,NO,2,NO,---,---,---,---
14Jun2015,2978,YES,4,NO,---,---,---,---
6Jun2015,2727,YES,3,NO,---,---,---,---
11Jul2016,2890,YES,3,NO,---,---,---,---
3May2018,928,NO,2,NO,---,---,---,---
1Jan2015,2684,YES,2,YES,11Dec2019,OK,OK,OK
16Jan2016,474,NO,3,YES,14Feb2018,OK,OK,Damage
31Aug2019,82,NO,4,NO,---,---,---,---
18Aug2019,280,YES,4,NO,---,---,---,---
2Sep2018,396,NO,5,NO,---,---,---,---
31Aug2016,916,NO,3,NO,---,---,---,---
29Jul2017,743,NO,1,NO,---,---,---,---
20Sep2018,814,YES,4,NO,---,---,---,---
4Feb2018,1553,YES,3,NO,---,---,---,---
17Feb2018,1459,YES,3,NO,---,---,---,---
